year,month,date,dead_people,injury_people,total_casualties,fatality_rate,accident_rate,fatalities_pct_change,injuries_pct_change,total_casualties_lag_1,accident_rate_lag_1,total_casualties_lag_2,accident_rate_lag_2,total_casualties_lag_3,accident_rate_lag_3,casualties_rolling_mean_3,fatalities_rolling_mean_3,accident_rate_rolling_mean_3
2024,1,2024-01-01,280,17651,17931,1.5615414645028163,119.89969909729187,2.1897810218978186,-0.6920220546866251,18048.0,120.68204613841525,16291.0,108.93346706787028,15022.0,100.44801069876294,17423.333333333332,267.3333333333333,116.50507076785914
2024,2,2024-02-01,259,16427,16686,1.552199448639578,111.57472417251755,-7.499999999999996,-6.934451305875022,17931.0,119.89969909729187,18048.0,120.68204613841525,16291.0,108.93346706787028,17555.0,271.0,117.38548980274156
2024,3,2024-03-01,242,17042,17284,1.4001388567461237,115.57338682714811,-6.563706563706562,3.743836366956832,16686.0,111.57472417251755,17931.0,119.89969909729187,18048.0,120.68204613841525,17300.333333333332,260.3333333333333,115.6826033656525
2024,4,2024-04-01,266,15421,15687,1.6956715751896476,104.89468405215648,9.917355371900815,-9.511794390329776,17284.0,115.57338682714811,16686.0,111.57472417251755,17931.0,119.89969909729187,16552.333333333332,255.66666666666666,110.6809316839407
2024,5,2024-05-01,205,15529,15734,1.302910893606203,105.20896021397526,-22.93233082706767,0.7003436871798163,15687.0,104.89468405215648,17284.0,115.57338682714811,16686.0,111.57472417251755,16235.0,237.66666666666666,108.55901036442663
2024,6,2024-06-01,198,15986,16184,1.2234305486900643,108.21798729521899,-3.4146341463414664,2.9428810612402545,15734.0,105.20896021397526,15687.0,104.89468405215648,17284.0,115.57338682714811,15868.333333333334,223.0,106.10721052045024
2024,7,2024-07-01,204,16703,16907,1.206600816229964,113.0524908057506,3.0303030303030276,4.485174527711755,16184.0,108.21798729521899,15734.0,105.20896021397526,15687.0,104.89468405215648,16275.0,202.33333333333334,108.82647943831495
2024,8,2024-08-01,209,16396,16605,1.2586570310147547,111.03309929789368,2.450980392156854,-1.8379931748787603,16907.0,113.0524908057506,16184.0,108.21798729521899,15734.0,105.20896021397526,16565.333333333332,203.66666666666666,110.76785913295441
2024,9,2024-09-01,191,16068,16259,1.1747339934805339,108.71949180875961,-8.61244019138756,-2.0004879238838758,16605.0,111.03309929789368,16907.0,113.0524908057506,16184.0,108.21798729521899,16590.333333333332,201.33333333333334,110.93502730413464
2024,10,2024-10-01,202,16202,16404,1.2314069739088027,109.6890672016048,5.759162303664911,0.833955688324628,16259.0,108.71949180875961,16605.0,111.03309929789368,16907.0,113.0524908057506,16422.666666666668,200.66666666666666,109.81388610275269
2024,11,2024-11-01,266,17228,17494,1.5205213215959756,116.97759946506186,31.68316831683169,6.332551536847308,16404.0,109.6890672016048,16259.0,108.71949180875961,16605.0,111.03309929789368,16719.0,219.66666666666666,111.79538615847542
2024,12,2024-12-01,263,18121,18384,1.43059181897302,122.92878635907722,-1.1278195488721776,5.183422335732524,17494.0,116.97759946506186,16404.0,109.6890672016048,16259.0,108.71949180875961,17427.333333333332,243.66666666666666,116.53181767524796
