year,province,month,age_group,dead_people,injury_people
2021,Chiang-Mai,November,25-35,13,461
2021,Chiang-Mai,November,36-60,10,583
2021,Chiang-Mai,November,60++,3,190
2021,Chiang-Mai,December,1-14,0,139
2021,Chiang-Mai,December,15-18,3,232
2021,Chiang-Mai,December,19-24,9,458
2021,Chiang-Mai,December,25-35,15,567
2021,Chiang-Mai,December,36-60,9,747
2021,Chiang-Mai,December,60++,9,241
2022,Bangkok,January,1-14,3,129
2022,Bangkok,January,15-18,4,342
2022,Bangkok,January,19-24,13,1056
2022,Bangkok,January,25-35,17,1556
2022,Bangkok,January,36-60,22,1722
2022,Bangkok,January,60++,3,297
2022,Bangkok,February,1-14,0,131
2022,Bangkok,February,15-18,1,300
2022,Bangkok,February,19-24,11,804
2022,Bangkok,February,25-35,23,1369
2022,Bangkok,February,36-60,32,1524
2022,Bangkok,February,60++,7,226
2022,Bangkok,March,1-14,0,143
2022,Bangkok,March,15-18,6,318
2022,Bangkok,March,19-24,7,932
2022,Bangkok,March,25-35,19,1615
2022,Bangkok,March,36-60,35,1550
2022,Bangkok,March,60++,6,249
2022,Bangkok,April,1-14,0,146
2022,Bangkok,April,15-18,3,262
2022,Bangkok,April,19-24,14,880
2022,Bangkok,April,25-35,25,1483
2022,Bangkok,April,36-60,28,1511
2022,Bangkok,April,60++,5,256
2022,Bangkok,May,1-14,1,174
2022,Bangkok,May,15-18,4,393
2022,Bangkok,May,19-24,7,974
2022,Bangkok,May,25-35,19,1610
2022,Bangkok,May,36-60,27,1572
2022,Bangkok,May,60++,11,260
2022,Bangkok,June,1-14,0,260
2022,Bangkok,June,15-18,3,513
2022,Bangkok,June,19-24,10,1146
2022,Bangkok,June,25-35,19,1798
2022,Bangkok,June,36-60,26,2033
2022,Bangkok,June,60++,4,305
2022,Bangkok,July,1-14,2,305
2022,Bangkok,July,15-18,0,536
2022,Bangkok,July,19-24,15,1337
2022,Bangkok,July,25-35,37,1956
2022,Bangkok,July,36-60,33,1961
2022,Bangkok,July,60++,7,323
2022,Bangkok,August,1-14,0,313
2022,Bangkok,August,15-18,4,641
2022,Bangkok,August,19-24,10,1502
2022,Bangkok,August,25-35,23,2167
2022,Bangkok,August,36-60,36,2305
2022,Bangkok,August,60++,3,334
2022,Bangkok,September,1-14,3,291
2022,Bangkok,September,15-18,3,562
2022,Bangkok,September,19-24,7,1358
2022,Bangkok,September,25-35,17,2151
2022,Bangkok,September,36-60,45,2283
2022,Bangkok,September,60++,5,379
2022,Bangkok,October,1-14,0,270
2022,Bangkok,October,15-18,7,584
2022,Bangkok,October,19-24,7,1300
2022,Bangkok,October,25-35,27,2021
2022,Bangkok,October,36-60,19,2176
2022,Bangkok,October,60++,3,375
2022,Bangkok,November,1-14,0,363
2022,Bangkok,November,15-18,1,659
2022,Bangkok,November,19-24,11,1445
2022,Bangkok,November,25-35,24,2280
2022,Bangkok,November,36-60,26,2475
2022,Bangkok,November,60++,6,374
2022,Bangkok,December,1-14,4,426
2022,Bangkok,December,15-18,10,713
2022,Bangkok,December,19-24,14,1587
2022,Bangkok,December,25-35,25,2372
2022,Bangkok,December,36-60,30,2503
2022,Bangkok,December,60++,9,448
2022,Kanchanaburi,January,1-14,0,40
2022,Kanchanaburi,January,15-18,0,80
2022,Kanchanaburi,January,19-24,2,116
2022,Kanchanaburi,January,25-35,1,156
2022,Kanchanaburi,January,36-60,7,212
2022,Kanchanaburi,January,60++,6,70
2022,Kanchanaburi,February,1-14,1,53
2022,Kanchanaburi,February,15-18,0,73
2022,Kanchanaburi,February,19-24,3,95
2022,Kanchanaburi,February,25-35,2,104
2022,Kanchanaburi,February,36-60,7,212
2022,Kanchanaburi,February,60++,3,57
2022,Kanchanaburi,March,1-14,0,41
2022,Kanchanaburi,March,15-18,1,99
2022,Kanchanaburi,March,19-24,0,87
